Serial,Salary,SalaryType,JobRole,Country,Seniority
283,52,Hourly,Manager,Canada,Junior
284,41,Hourly,Analyst,netherlands,Senior
285,100330,Yearly,Manager,netherlands,Junior
286,140406,Yearly,Designer,USA,Senior
287,134769,Yearly,Developer,Canada,Junior
288,143493,Yearly,Developer,Canada,Senior
289,61049,Yearly,Developer,netherlands,Junior
290,142,Hourly,Designer,USA,Senior
291,74331,Yearly,Developer,Germany,Senior
292,47,Hourly,Manager,Germany,Junior
293,71,Hourly,Developer,Canada,Junior
294,49285,Yearly,Analyst,netherlands,Junior
295,149,Hourly,Designer,netherlands,Junior
296,130535,Yearly,Analyst,Germany,Junior
297,43,Hourly,Analyst,Canada,Senior
298,47,Hourly,Designer,USA,Junior
299,50045,Yearly,Analyst,USA,Junior
300,108,Hourly,Analyst,Canada,Junior
301,104,Hourly,Developer,Canada,Junior
302,136,Hourly,Designer,Germany,Junior
303,54,Hourly,Analyst,Germany,Senior
304,128,Hourly,Designer,Canada,Senior
305,54773,Yearly,Analyst,USA,Junior
306,128,Hourly,Manager,USA,Senior
307,53175,Yearly,Analyst,netherlands,Junior
308,109,Hourly,Designer,USA,Junior
309,48,Hourly,Manager,Germany,Junior
310,44,Hourly,Designer,netherlands,Junior
311,96,Hourly,Developer,USA,Senior
312,133,Hourly,Manager,Canada,Junior
313,25,Hourly,Developer,USA,Senior
314,54,Hourly,Developer,Canada,Senior
315,72522,Yearly,Analyst,Germany,Senior
316,23,Hourly,Developer,USA,Junior
317,114391,Yearly,Developer,Canada,Senior
318,135,Hourly,Analyst,Canada,Senior
319,145,Hourly,Designer,Canada,Senior
320,81078,Yearly,Analyst,USA,Senior
321,78,Hourly,Manager,Canada,Senior
322,78,Hourly,Designer,Germany,Junior
323,77,Hourly,Developer,Canada,Junior
324,59,Hourly,Developer,Canada,Junior
325,43056,Yearly,Manager,Canada,Senior
326,57127,Yearly,Developer,USA,Junior
327,132,Hourly,Manager,netherlands,Senior
328,50,Hourly,Developer,netherlands,Junior
329,134,Hourly,Analyst,Germany,Senior
330,72,Hourly,Developer,Germany,Junior
331,27,Hourly,Designer,netherlands,Senior
332,65,Hourly,Developer,Canada,Junior
333,55888,Yearly,Analyst,Germany,Senior
334,114182,Yearly,Designer,USA,Junior
335,41,Hourly,Developer,netherlands,Junior
336,136851,Yearly,Developer,USA,Senior
337,54,Hourly,Developer,USA,Junior
338,133593,Yearly,Developer,Canada,Junior
339,17,Hourly,Designer,Germany,Junior
340,66275,Yearly,Analyst,Germany,Senior
341,77505,Yearly,Manager,Canada,Senior
342,95699,Yearly,Manager,Germany,Senior
343,103,Hourly,Manager,Germany,Senior
344,22,Hourly,Manager,USA,Junior
345,45735,Yearly,Analyst,Germany,Senior
346,126531,Yearly,Designer,Canada,Junior
347,53,Hourly,Analyst,Germany,Senior
348,43,Hourly,Designer,Germany,Junior
349,94,Hourly,Manager,Canada,Junior
350,49881,Yearly,Manager,netherlands,Junior
351,119084,Yearly,Analyst,Germany,Junior
352,101,Hourly,Analyst,Germany,Senior
353,96,Hourly,Analyst,Canada,Junior
354,51,Hourly,Analyst,Canada,Senior
355,27,Hourly,Manager,Germany,Senior
356,19,Hourly,Designer,Canada,Senior
357,41876,Yearly,Developer,Canada,Junior
358,117,Hourly,Analyst,Canada,Senior
359,106,Hourly,Designer,Canada,Junior
360,113855,Yearly,Designer,USA,Senior
361,81240,Yearly,Analyst,USA,Senior
362,18,Hourly,Designer,USA,Senior
363,37321,Yearly,Manager,USA,Senior
364,38252,Yearly,Developer,USA,Senior
365,110,Hourly,Analyst,USA,Junior
366,146530,Yearly,Developer,USA,Senior
367,78,Hourly,Developer,Germany,Junior
368,90,Hourly,Developer,Canada,Junior
369,55171,Yearly,Developer,Canada,Senior
370,75991,Yearly,Developer,Germany,Senior
371,83,Hourly,Designer,Canada,Senior
372,27,Hourly,Designer,Germany,Senior
373,37685,Yearly,Developer,Germany,Junior
374,24,Hourly,Designer,netherlands,Senior
375,101,Hourly,Analyst,netherlands,Senior
376,113,Hourly,Designer,netherlands,Senior
377,37,Hourly,Designer,netherlands,Junior
378,69,Hourly,Manager,Canada,Junior
379,70,Hourly,Designer,Canada,Senior
380,128,Hourly,Developer,USA,Junior
381,55970,Yearly,Developer,Canada,Senior
382,92747,Yearly,Manager,USA,Senior
383,140703,Yearly,Designer,Canada,Junior
384,97547,Yearly,Manager,netherlands,Junior
385,96498,Yearly,Analyst,Canada,Junior
386,106,Hourly,Developer,netherlands,Junior
387,72,Hourly,Manager,Canada,Junior
388,145558,Yearly,Developer,USA,Junior
389,108,Hourly,Manager,Canada,Junior
390,119600,Yearly,Analyst,USA,Junior
391,115,Hourly,Manager,Germany,Junior
392,70721,Yearly,Analyst,USA,Junior
393,88,Hourly,Manager,netherlands,Junior
394,76038,Yearly,Analyst,netherlands,Junior
395,91669,Yearly,Manager,USA,Senior
396,133794,Yearly,Analyst,USA,Junior
397,110400,Yearly,Analyst,Germany,Junior
398,79,Hourly,Analyst,netherlands,Senior
399,107114,Yearly,Analyst,netherlands,Junior
400,105929,Yearly,Developer,Canada,Senior
401,139,Hourly,Developer,netherlands,Junior
402,94,Hourly,Analyst,Germany,Senior
403,55083,Yearly,Developer,netherlands,Junior
404,113471,Yearly,Developer,Germany,Senior
405,122,Hourly,Manager,USA,Junior
406,129,Hourly,Designer,Germany,Junior
407,38818,Yearly,Analyst,USA,Junior
408,53177,Yearly,Designer,USA,Senior
409,60142,Yearly,Analyst,Germany,Junior
410,115705,Yearly,Analyst,netherlands,Junior
411,62467,Yearly,Designer,Germany,Junior
412,111314,Yearly,Manager,USA,Junior
413,53178,Yearly,Manager,Germany,Junior
414,62,Hourly,Developer,netherlands,Junior
415,128903,Yearly,Analyst,USA,Senior
416,65,Hourly,Analyst,netherlands,Senior
417,87809,Yearly,Developer,USA,Junior
418,72,Hourly,Analyst,netherlands,Junior
419,137,Hourly,Manager,netherlands,Junior
420,109321,Yearly,Developer,USA,Senior
421,94,Hourly,Manager,Germany,Senior
422,78,Hourly,Developer,netherlands,Junior
423,41,Hourly,Developer,Germany,Junior
424,131955,Yearly,Analyst,netherlands,Senior
425,124,Hourly,Designer,Canada,Senior
426,21,Hourly,Manager,Germany,Junior
427,32,Hourly,Manager,USA,Junior
428,86,Hourly,Manager,USA,Senior
429,108,Hourly,Developer,Canada,Junior
430,90456,Yearly,Designer,Germany,Junior
431,15,Hourly,Designer,Germany,Junior
432,74,Hourly,Analyst,Canada,Junior
433,136,Hourly,Developer,USA,Junior
434,103118,Yearly,Manager,netherlands,Senior
435,131519,Yearly,Designer,Canada,Senior
436,142201,Yearly,Developer,USA,Junior
437,63299,Yearly,Developer,USA,Junior
438,83156,Yearly,Designer,Germany,Senior
439,114151,Yearly,Designer,USA,Junior
440,112,Hourly,Developer,netherlands,Junior
441,126347,Yearly,Analyst,USA,Senior
442,126,Hourly,Designer,netherlands,Junior
443,39993,Yearly,Analyst,Germany,Senior
444,93762,Yearly,Manager,Canada,Junior
445,103877,Yearly,Developer,USA,Junior
446,142,Hourly,Manager,USA,Senior
447,135885,Yearly,Designer,Germany,Junior
448,121664,Yearly,Developer,USA,Junior
449,89058,Yearly,Manager,Canada,Senior
450,61004,Yearly,Manager,USA,Junior
451,126753,Yearly,Manager,Germany,Junior
452,26,Hourly,Analyst,Germany,Senior
453,138034,Yearly,Developer,Canada,Senior
454,90680,Yearly,Manager,Canada,Senior
455,46476,Yearly,Manager,netherlands,Senior
456,133264,Yearly,Analyst,Canada,Senior
457,19,Hourly,Manager,netherlands,Senior
458,72426,Yearly,Analyst,Canada,Senior
459,95,Hourly,Designer,Canada,Junior
460,81,Hourly,Designer,Germany,Junior
461,112,Hourly,Developer,Germany,Senior
462,67,Hourly,Manager,Germany,Senior
463,144279,Yearly,Analyst,USA,Senior
464,30002,Yearly,Analyst,USA,Senior
465,93321,Yearly,Analyst,USA,Senior
466,26,Hourly,Analyst,Germany,Senior
467,54,Hourly,Developer,netherlands,Senior
468,62,Hourly,Designer,Germany,Senior
469,111,Hourly,Designer,Germany,Junior
470,94937,Yearly,Analyst,netherlands,Senior
471,130426,Yearly,Manager,USA,Senior
472,101,Hourly,Designer,Germany,Junior
473,106,Hourly,Manager,Germany,Junior
474,51,Hourly,Designer,Canada,Junior
475,124395,Yearly,Analyst,Canada,Junior
476,59,Hourly,Developer,Canada,Junior
477,72213,Yearly,Designer,Germany,Junior
478,30915,Yearly,Analyst,USA,Senior
479,87083,Yearly,Developer,Canada,Junior
480,61,Hourly,Developer,netherlands,Junior
481,123478,Yearly,Developer,Germany,Junior
482,135,Hourly,Designer,USA,Senior
483,110,Hourly,Designer,Canada,Junior
484,97,Hourly,Designer,Canada,Junior
485,102971,Yearly,Manager,Canada,Junior
486,133080,Yearly,Manager,netherlands,Senior
487,90,Hourly,Developer,Canada,Junior
488,85,Hourly,Designer,Germany,Senior
489,99964,Yearly,Manager,USA,Junior
490,17,Hourly,Developer,Germany,Junior
491,129399,Yearly,Manager,Canada,Senior
492,17,Hourly,Analyst,Canada,Senior
493,40,Hourly,Analyst,Germany,Junior
494,70,Hourly,Analyst,Germany,Senior
495,142445,Yearly,Analyst,USA,Junior
496,26,Hourly,Manager,Canada,Junior
497,66,Hourly,Developer,USA,Senior
498,148880,Yearly,Analyst,USA,Senior
499,126,Hourly,Analyst,Canada,Junior
500,132870,Yearly,Developer,USA,Junior
